Peso,Destino,Categoria,TiempoEntregadoHistorico
50,1,4,108
10,2,7,92
94,5,4,218
10,3,7,169
74,2,5,180
99,1,2,129
51,1,3,234
16,2,5,128
17,4,5,71
42,1,6,44
49,1,4,82
99,1,3,151
24,2,2,143
55,4,4,193
67,1,8,32
59,1,6,42
78,1,6,117
9,2,7,29
7,4,2,24
30,1,1,238
52,1,6,137
66,1,7,94
62,2,2,121
3,4,7,235
81,1,8,146
20,1,7,139
42,1,7,154
27,2,3,105
87,1,6,177
17,2,5,217
80,5,2,179
64,3,8,32
57,2,2,142
94,1,1,128
35,1,3,62
66,2,8,169
36,4,5,98
23,1,6,85
83,1,1,143
15,1,6,235
42,2,5,211
66,4,2,224
3,1,8,70
48,1,8,117
77,1,6,118
1,2,4,77
68,4,1,182
59,1,6,139
59,1,4,61
10,1,5,125
37,2,2,215
84,4,2,157
97,1,1,168
61,1,6,30
20,1,7,50
13,2,1,88
36,1,5,211
88,2,8,96
40,5,3,40
23,3,2,159
63,2,8,119
11,1,5,166
85,1,2,126
6,2,7,174
2,4,2,188
66,1,8,152
8,1,6,120
52,1,6,195
88,2,3,111
1,4,2,177
73,1,3,219
2,1,5,59
92,1,5,174
21,2,6,176
2,4,5,150
57,1,2,141
85,1,6,120
81,1,3,229
6,2,4,186
64,4,1,209
86,1,2,71
90,1,6,223
49,1,5,26
84,2,6,113
49,1,3,173
70,2,3,74
78,5,8,96
95,3,5,157
18,2,8,189
80,1,1,49
77,1,7,155
91,2,3,30
17,4,3,137
19,1,7,205
32,1,7,110
24,1,2,87
75,2,1,53
93,4,7,49
42,1,5,220
50,1,4,108
10,2,7,92
94,5,4,218
10,3,7,169
74,2,5,180
99,1,2,129
51,1,3,234
16,2,5,128
17,4,5,71
42,1,6,44
49,1,4,82
99,1,3,151
24,2,2,143
55,4,4,193
67,1,8,32
59,1,6,42
78,1,6,117
9,2,7,29
7,4,2,24
30,1,1,238
52,1,6,137
66,1,7,94
62,2,2,121
3,4,7,235
81,1,8,146
20,1,7,139
42,1,7,154
27,2,3,105
87,1,6,177
17,2,5,217
80,5,2,179
64,3,8,32
57,2,2,142
94,1,1,128
35,1,3,62
66,2,8,169
36,4,5,98
23,1,6,85
83,1,1,143
15,1,6,235
42,2,5,211
66,4,2,224
3,1,8,70
48,1,8,117
77,1,6,118
1,2,4,77
68,4,1,182
59,1,6,139
59,1,4,61
10,1,5,125
37,2,2,215
84,4,2,157
97,1,1,168
61,1,6,30
20,1,7,50
13,2,1,88
36,1,5,211
88,2,8,96
40,5,3,40
23,3,2,159
63,2,8,119
11,1,5,166
85,1,2,126
6,2,7,174
2,4,2,188
66,1,8,152
8,1,6,120
52,1,6,195
88,2,3,111
1,4,2,177
73,1,3,219
2,1,5,59
92,1,5,174
21,2,6,176
2,4,5,150
57,1,2,141
85,1,6,120
81,1,3,229
6,2,4,186
64,4,1,209
86,1,2,71
90,1,6,223
49,1,5,26
84,2,6,113
49,1,3,173
70,2,3,74
78,5,8,96
95,3,5,157
18,2,8,189
80,1,1,49
77,1,7,155
91,2,3,30
17,4,3,137
19,1,7,205
32,1,7,110
24,1,2,87
75,2,1,53
93,4,7,49
42,1,5,220
50,1,4,108
10,2,7,92
